file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_64_30_1_0.json,2,130.5600,1.0007,0.1317,0.5597,1.0000,0.9417,1.0833,
fcma_prob_64_30_1_0.json,3,130.5600,1.0007,0.0318,0.4766,1.0000,1.1154,1.0984,
fcma_prob_65_30_1_0.json,1,6.7200,1.0145,0.4011,0.5845,1.0000,0.9705,1.0547,
fcma_prob_65_30_1_0.json,2,6.7200,1.0145,0.1523,0.3081,1.0000,1.1663,1.1865,
fcma_prob_65_30_1_0.json,3,6.7200,1.0145,0.0312,0.1364,1.0000,1.1489,0.9845,
fcma_prob_66_30_1_0.json,1,63.1680,1.0000,0.4277,0.6483,1.0000,1.1302,1.1355,
fcma_prob_66_30_1_0.json,2,63.1680,1.0000,0.1450,0.3548,1.0000,1.3522,1.2176,
fcma_prob_66_30_1_0.json,3,63.1680,1.0000,0.0419,0.2560,1.0000,1.4637,1.1793,
fcma_prob_67_30_1_0.json,1,2.7840,1.0000,0.3978,0.5363,1.0000,0.9773,1.0491,
fcma_prob_67_30_1_0.json,2,2.7840,1.0000,0.1350,0.2778,1.0000,1.1350,1.1964,
fcma_prob_67_30_1_0.json,3,2.7840,1.0000,0.0253,0.1100,1.0000,0.8153,0.8387,
fcma_prob_68_30_1_3_2_0.json,1,2241.2160,1.0239,0.3978,7.4610,1.0000,1.1448,1.0297,
fcma_prob_68_30_1_3_2_0.json,2,2241.2160,1.0239,0.3312,18.5828,1.0000,3.5498,2.5589,
fcma_prob_68_30_1_3_2_0.json,3,2241.2160,1.0239,0.0312,7.7082,1.0000,1.4534,1.0912,
fcma_prob_69_30_1_3_2_0.json,1,166.2720,1.0273,0.3934,0.8702,1.0000,1.1350,1.1121,
fcma_prob_69_30_1_3_2_0.json,2,167.0400,1.0320,0.1531,0.6524,1.0000,1.1887,1.1563,
fcma_prob_69_30_1_3_2_0.json,3,167.0400,1.0320,0.0133,0.5829,1.0000,0.7050,1.1309,
fcma_prob_6_1_1_3_8_0.json,1,37.6800,1.1544,0.1981,0.5726,1.0000,1.1797,1.2524,
fcma_prob_6_1_1_3_8_0.json,2,37.6640,1.1539,0.0974,0.3029,1.0000,1.0351,1.2102,
fcma_prob_6_1_1_3_8_0.json,3,37.6640,1.1539,0.0070,0.1491,1.0000,1.1628,1.2605,
fcma_prob_70_30_1_3_8_0.json,1,1857.4000,1.0462,0.3766,18.9248,1.0000,1.0630,1.1654,
fcma_prob_70_30_1_3_8_0.json,2,1875.6400,1.0564,0.1087,20.3084,1.0000,1.0624,1.1873,
fcma_prob_70_30_1_3_8_0.json,3,1876.3200,1.0568,0.0161,17.9285,1.0000,0.8282,1.1057,
fcma_prob_71_30_1_3_8_0.json,1,136.4880,1.1056,0.3789,1.1033,1.0000,1.0907,1.0312,
fcma_prob_71_30_1_3_8_0.json,2,136.7520,1.1077,0.1418,0.8499,1.0000,1.4220,1.1364,
fcma_prob_71_30_1_3_8_0.json,3,136.7520,1.1077,0.0198,0.6420,1.0000,0.9361,0.9640,
fcma_prob_72_30_4_0.json,1,14.8688,1.0049,1.7952,1.9522,1.0000,1.1501,1.1539,
fcma_prob_72_30_4_0.json,2,14.7235,0.9951,0.4387,0.5648,1.0000,1.1602,1.1662,
fcma_prob_72_30_4_0.json,3,15.6835,1.0600,0.0510,0.1578,1.0000,1.0424,0.9550,
fcma_prob_73_30_4_0.json,1,0.8225,1.1321,2.0521,2.1970,1.0000,1.1207,1.1244,
fcma_prob_73_30_4_0.json,2,0.9096,1.2521,0.4105,0.4897,1.0000,1.1543,1.1096,
fcma_prob_73_30_4_0.json,3,0.9096,1.2521,0.0470,0.1315,1.0000,0.9080,0.9521,
fcma_prob_74_30_4_0.json,1,10.0163,1.0000,1.6369,1.7937,1.0000,1.0243,1.0326,
